Uni-port ID,Entry name,Protein names,Gene names,Status,Organism,Length,Mass,Activity regulation,Involvement in disease,Catalytic activity,Cross-reference (PDB),Function
A6MI22,A6MI22_9HIV1,Protein Tat (Transactivating regulatory protein),tat,unreviewed,Human immunodeficiency virus 1,106,"12,122",N/A,N/A,N/A,N/A,"Extracellular circulating Tat can be endocytosed by surrounding uninfected cells via the binding to several surface receptors such as CD26, CXCR4, heparan sulfate proteoglycans (HSPG) or LDLR."
C7EXM1,C7EXM1_SALTM,Membrane protein (OmpC) (Outer membrane porin protein C) (Outer membrane protein C) (Outer membrane protein C protein-like protein) (Phosphoporin PhoE) (Porin) (Porin OmpC),ompC,unreviewed,Salmonella typhimurium,378,"41,239",N/A,N/A,N/A,N/A,N/A
E0Z2R8,E0Z2R8_9INFA,Hemagglutinin [Cleaved into: Hemagglutinin HA1 chain; Hemagglutinin HA2 chain],HA,unreviewed,Influenza A virus (A/Korea/CJ01/2009(H1N1)),566,"63,236",N/A,N/A,N/A,N/A,"Binds to sialic acid-containing receptors on the cell surface, bringing about the attachment of the virus particle to the cell."
G3GC05,G3GC05_BEMTA,Mitogen-activated protein kinase (EC 2.7.11.24),Erk1/2,unreviewed,Bemisia tabaci (Sweetpotato whitefly) (Aleurodes tabaci),363,"41,910",Activated by threonine and tyrosine phosphorylation,N/A,Reaction=ATP + L-seryl-[protein] = ADP + H(+) + O-phospho-L-seryl-[protein],N/A,N/A
I0IT65,I0IT65_WHEAT,Alpha-gliadin (Alpha/beta-gliadin) (CSD_alpha gliadin 11) (Gliadin alpha-D12),Gli-2 gli-2 Gli-D2 Gli-D2-1,unreviewed,Triticum aestivum (Wheat),282,"32,206",N/A,N/A,N/A,N/A,N/A
O14786,NRP1_HUMAN,Neuropilin-1 (Vascular endothelial cell growth factor 165 receptor) (CD antigen CD304),NRP1 NRP VEGF165R,reviewed,Homo sapiens (Human),923,"103,134",N/A,N/A,N/A,1KEX;2QQI;2QQM;2QQN;3I97;4DEQ;4RN5;5C7G;5IJR;5IYY;5J1X;5JGI;5JGQ;5JHK;5L73;6FMC;6FMF;6TKK;7JJC;7O1N;,"Cell-surface receptor involved in the development of the cardiovascular system, in angiogenesis, in the formation of certain neuronal circuits and in organogenesis outside the nervous system."
O15123,ANGP2_HUMAN,Angiopoietin-2 (ANG-2),ANGPT2,reviewed,Homo sapiens (Human),496,"56,919",N/A,Lymphatic malformation 10 (LMPHM10),N/A,1Z3S;1Z3U;2GY7;4JZC;4ZFG;,"Binds to TEK/TIE2, competing for the ANGPT1 binding site, and modulating ANGPT1 signaling."
O15243,OBRG_HUMAN,Leptin receptor gene-related protein (Endospanin-1) (Leptin receptor overlapping transcript protein) (OB-R gene-related protein) (OB-RGRP),LEPROT LEPR OBR,reviewed,Homo sapiens (Human),131,"14,254",N/A,N/A,N/A,N/A,"Negatively regulates leptin receptor (LEPR) cell surface expression, and thus decreases response to leptin."
O15455,TLR3_HUMAN,Toll-like receptor 3 (CD antigen CD283),TLR3,reviewed,Homo sapiens (Human),904,"103,829",N/A,"Immunodeficiency 83, susceptibility to viral infections (IMD83)",N/A,1ZIW;2A0Z;2MK9;2MKA;3ULU;3ULV;5GS0;7C76;,Key component of innate and adaptive immunity.
O43490,PROM1_HUMAN,Prominin-1 (Antigen AC133) (Prominin-like protein 1) (CD antigen CD133),PROM1 PROML1 MSTP061,reviewed,Homo sapiens (Human),865,"97,202",N/A,Retinitis pigmentosa 41 (RP41),N/A,N/A,"May play a role in cell differentiation, proliferation and apoptosis."
O43504,LTOR5_HUMAN,Ragulator complex protein LAMTOR5 (Hepatitis B virus X-interacting protein) (HBV X-interacting protein) (HBX-interacting protein) (Late endosomal/lysosomal adaptor and MAPK and MTOR activator 5),LAMTOR5 HBXIP XIP,reviewed,Homo sapiens (Human),91,"9,614",N/A,N/A,N/A,3MS6;3MSH;5VOK;5X6U;5X6V;5Y38;5Y39;5Y3A;5YK3;6EHP;6EHR;6NZD;6U62;6ULG;7T3A;7T3B;7T3C;,"As part of the Ragulator complex it is involved in amino acid sensing and activation of mTORC1, a signaling complex promoting cell growth in response to growth factors, energy levels, and amino acids."
O46492,O46492_BOVIN,Pregnancy-associated glycoprotein 4,PAG4,unreviewed,Bos taurus (Bovine),380,"42,663",N/A,N/A,N/A,N/A,N/A
O60930,RNH1_HUMAN,Ribonuclease H1 (RNase H1) (EC 3.1.26.4) (Ribonuclease H type II),RNASEH1 RNH1,reviewed,Homo sapiens (Human),286,"32,064","In the presence of magnesium, manganese is inhibitory",Progressive external ophthalmoplegia with mitochondrial DNA deletions,Reaction=Endonucleolytic cleavage to 5'-phosphomonoester,2QK9;2QKB;2QKK;3BSU;6VRD;,Endonuclease that specifically degrades the RNA of RNA-DNA hybrids.
O95786,DDX58_HUMAN,Antiviral innate immune response receptor RIG-I (ATP-dependent RNA helicase DDX58) (EC 3.6.4.13) (DEAD box protein 58) (RIG-I-like receptor 1) (RLR-1) (Retinoic acid-inducible gene 1 protein) (RIG-1) (Retinoic acid-inducible gene I protein) (RIG-I),DDX58,reviewed,Homo sapiens (Human),925,"106,600",N/A,Singleton-Merten syndrome 2 (SGMRT2),Reaction=ATP + H2O = ADP + H(+) + phosphate,2LWD;2LWE;2QFB;2QFD;2RMJ;2YKG;3LRN;3LRR;3NCU;3OG8;3ZD6;3ZD7;4AY2;4BPB;4NQK;4ON9;4P4H;5E3H;5F98;5F9F;5F9H;6GPG;6KYV;7BAH;7BAI;7JL1;7JL3;7MK1;,Innate immune receptor that senses cytoplasmic viral nucleic acids and activates a downstream signaling cascade leading to the production of type I interferons and pro-inflammatory cytokines.
O95994,AGR2_HUMAN,Anterior gradient protein 2 homolog (AG-2) (hAG-2) (HPC8) (Secreted cement gland protein XAG-2 homolog),AGR2 AG2 UNQ515/PRO1030,reviewed,Homo sapiens (Human),175,"19,979",N/A,N/A,N/A,2LNS;2LNT;,Required for MUC2 post-transcriptional synthesis and secretion.
P00432,CATA_BOVIN,Catalase (EC 1.11.1.6),CAT,reviewed,Bos taurus (Bovine),527,"59,915",N/A,N/A,Reaction=2 H2O2 = 2 H2O + O2,1TGU;1TH2;1TH3;1TH4;3J7B;3NWL;3RE8;3RGP;3RGS;4BLC;5GKN;6JNT;6JNU;6PM7;6PO0;7CAT;7DI8;8CAT;,Occurs in almost all aerobically respiring organisms and serves to protect cells from the toxic effects of hydrogen peroxide.
P00533,EGFR_HUMAN,Epidermal growth factor receptor (EC 2.7.10.1) (Proto-oncogene c-ErbB-1) (Receptor tyrosine-protein kinase erbB-1),EGFR ERBB ERBB1 HER1,reviewed,Homo sapiens (Human),1210,"134,277",Endocytosis and inhibition of the activated EGFR by phosphatases like PTPRJ and PTPRK constitute immediate regulatory mechanisms,Lung cancer (LNCR),Reaction=ATP + L-tyrosyl-[protein] = ADP + H(+) + O-phospho-L-tyrosyl-[protein],1IVO;1M14;1M17;1MOX;1NQL;1XKK;1YY9;1Z9I;2EB2;2EB3;2GS2;2GS6;2GS7;2ITN;2ITO;2ITP;2ITQ;2ITT;2ITU;2ITV;2ITW;2ITX;2ITY;2ITZ;2J5E;2J5F;2J6M;2JIT;2JIU;2JIV;2KS1;2M0B;2M20;2N5S;2RF9;2RFD;2RFE;2RGP;3B2U;3B2V;3BEL;3BUO;3C09;3G5V;3G5Y;3GOP;3GT8;3IKA;3LZB;3NJP;3OB2;3OP0;3P0Y;3PFV;3POZ;3QWQ;3UG1;3UG2;3VJN;3VJO;3VRP;3VRR;3W2O;3W2P;3W2Q;3W2R;3W2S;3W32;3W33;4G5J;4G5P;4HJO;4I1Z;4I20;4I21;4I22;4I23;4I24;4JQ7;4JQ8;4JR3;4JRV;4KRL;4KRM;4KRO;4KRP;4LI5;4LL0;4LQM;4LRM;4R3P;4R3R;4R5S;4RIW;4RIX;4RIY;4RJ4;4RJ5;4RJ6;4RJ7;4RJ8;4TKS;4UIP;4UV7;4WD5;4WKQ;4WRG;4ZAU;4ZJV;4ZSE;5C8K;5C8M;5C8N;5CAL;5CAN;5CAO;5CAP;5CAQ;5CAS;5CAU;5CAV;5CNN;5CNO;5CZH;5CZI;5D41;5EDP;5EDQ;5EDR;5EM5;5EM6;5EM7;5EM8;5FED;5FEE;5FEQ;5GMP;5GNK;5GTY;5GTZ;5HCX;5HCY;5HCZ;5HG5;5HG7;5HG8;5HG9;5HIB;5HIC;5J9Y;5J9Z;5JEB;5LV6;5SX4;5SX5;5U8L;5UG8;5UG9;5UGA;5UGB;5UGC;5UWD;5WB7;5WB8;5X26;5X27;5X28;5X2A;5X2C;5X2F;5X2K;5XDK;5XDL;5XGM;5XGN;5XWD;5Y25;5Y9T;5YU9;5ZTO;5ZWJ;6ARU;6B3S;6D8E;6DUK;6JRJ;6JRK;6JRX;6JWL;6JX0;6JX4;6JXT;6JZ0;6LUB;6LUD;6P1D;6P1L;6P8Q;6S89;6S8A;6S9B;6S9C;6S9D;6TFU;6TFV;6TFW;6TFY;6TFZ;6TG0;6TG1;6V5N;6V5P;6V66;6V6K;6V6O;6VH4;6VHN;6VHP;6WA2;6WAK;6WXN;6XL4;6Z4B;6Z4D;7A2A;7A6I;7A6J;7A6K;7AEI;7AEM;7B85;7JXI;7JXK;7JXL;7JXM;7JXP;7JXQ;7JXW;7K1H;7K1I;7KXZ;7KY0;7LEN;7LFR;7LFS;7LG8;7LGS;7LTX;7OM4;7OXB;7SYD;7SYE;7SZ0;7SZ1;7SZ5;7SZ7;7TVD;,Receptor tyrosine kinase binding ligands of the EGF family and activating several signaling cascades to convert extracellular cues into appropriate cellular responses.
P00646,CEA3_ECOLX,Colicin-E3 (EC 3.1.-.-) (Colicin-E3 A chain) (Ribonuclease),ceaC,reviewed,Escherichia coli,551,"57,963",N/A,N/A,N/A,1E44;1JCH;1UJW;2B5U;4UDM;4V5K;,Inactivates ribosomes by hydrolyzing 16S RNA in 30S ribosomes at a specific site.
